artist_credit,name,artist_count,ref_count,created
id-578590,a Crack in Time and the Break of Dawn,1,8,2011-05-16 163211.963929+00
id-665411,ZeBrick,1,40,2011-05-16 163211.963929+00
id-973582,Les Hooper Big Band,1,64,2012-04-21 190142.663652+00
id-139971,Ray Polanco,1,38,2011-05-16 163211.963929+00
id-785883,Hypnosis Rainbow,1,12,2011-05-16 163211.963929+00
id-160296,Knight Phantom,1,26,2011-05-16 163211.963929+00
id-160291,Fluxland,1,46,2011-05-16 163211.963929+00
id-352501,Metal Mareny,1,62,2011-05-16 163211.963929+00
id-867096,Leland Jazz Radburn,1,4,2011-10-08 072742.308094+00
id-2376458,The Effex feat. YV Xeno,2,4,2019-02-28 151403.189149+00
id-827925,Foreshore,1,12,2011-06-10 104107.119555+00
id-71232,The New Age,1,10,2011-05-16 163211.963929+00
id-984718,House Crew,1,12,2012-05-14 015111.040274+00
id-1321587,DeckaJam,1,62,2014-06-02 114051.062637+00
id-413515,Gary Murray,1,14,2011-05-16 163211.963929+00
id-322625,MAM,1,80,2011-05-16 163211.963929+00
id-1143608,Neonherz,1,6,2013-03-25 122521.062169+00
id-514489,Dead in Existence,1,10,2011-05-16 163211.963929+00
rec-303458-dup-0,Slater H0gan,1,2,2011-05-16 163211.963929+00
id-510655,Josh Kaplan,1,38,2011-05-16 163211.963929+00
id-156942,Two Disciples,1,22,2011-05-16 163211.963929+00
id-439262,Tanmaya Honervogt,1,4,2011-05-16 163211.963929+00
id-160128,Angel Trumpets,1,4,2011-05-16 163211.963929+00
id-561756,The Positively Testcard,1,38,2011-05-16 163211.963929+00
id-791825,The Misspoken,1,26,2011-05-16 163211.963929+00
id-460941,Hurst Pier Point,1,12,2011-05-16 163211.963929+00
id-574590,Cardiac Move,1,55,2011-05-16 163211.963929+00
id-251389,Paul Sequence Ferguson,1,38,2011-05-16 163211.963929+00
id-388423,DJ Dom,1,24,2011-05-16 163211.963929+00
id-803297,Graceful Exit,1,8,2011-05-16 163211.963929+00
id-273015,Full Strike,1,24,2011-05-16 163211.963929+00
id-2815391,Bridson X Rikston,2,4,2020-09-30 140524.822032+00
id-947305,Dronf,1,8,2012-02-20 132122.038902+00
id-195457,Ståle Stiil,1,10,2011-05-16 163211.963929+00
id-103218,Dadomo,1,18,2011-05-16 163211.963929+00
id-866147,Ricky Ruckus  Kenney Kokaine,2,12,2011-10-06 043255.925032+00
id-112289,Frank Bruno,1,12,2011-05-16 163211.963929+00
id-1447197,Ranunculaceae,1,4,2015-03-13 125242.86942+00
id-768686,Psychobuildings,1,107,2011-05-16 163211.963929+00
id-331279,Side Street Strutters Jazz Band,1,30,2011-05-16 163211.963929+00
id-118840,Madely,1,22,2011-05-16 163211.963929+00
id-208663,Evan Goodrow,1,18,2011-05-16 163211.963929+00
id-2005040,RFK,1,38,2017-05-22 000040.811678+00
id-35530,Frank Morgan Quartet,1,34,2011-05-16 163211.963929+00
id-2286656,Grand Slam,1,54,2018-09-28 130019.661042+00
id-2293288,The Tropicanas,1,44,2018-10-11 142300.141917+00
id-1640701,Shapes  Colors,1,76,2016-04-09 192851.327247+00
id-204170,Koy,1,12,2011-05-16 163211.963929+00
id-192045,Gianna Jessen,1,14,2011-05-16 163211.963929+00
id-539743,Czarbles,1,16,2011-05-16 163211.963929+00
id-315869,Soil Sing Through Me,1,42,2011-05-16 163211.963929+00
id-1196483,Amarula feat. Italik Dubree,2,6,2013-07-24 230307.940242+00
id-364787,Lourds Lane,1,10,2011-05-16 163211.963929+00
id-342969,3is,1,18,2011-05-16 163211.963929+00
id-292392,Say Colour,1,45,2011-05-16 163211.963929+00
id-406769,Mabusto,1,10,2011-05-16 163211.963929+00
id-2391177,MSD,1,4,2019-03-20 223450.86162+00
id-2347130,Hi-Fis of the 90s,1,14,2019-01-16 150027.432917+00
id-595780,Hezbollah,1,2,2011-05-16 163211.963929+00
id-463417,Toccata,1,20,2011-05-16 163211.963929+00
id-2771415,Palomino,1,38,2020-08-04 045659.067431+00
id-318846,Shockabuku,1,8,2011-05-16 163211.963929+00
id-613366,Spark of Fire,1,10,2011-05-16 163211.963929+00
