label,gid,name,label_type,area,ended
245181,a6e1ce5e611347398df939cb67e17a1b,Selim Karakaya,,,f
163435,8ba029184c53487691efb5adc338c440,Angelina Recordz,,107,f
102248,95bb3aec1e9e4703b2f5e07128926444,Strenghold Music Group,,,f
51329,3a405efa1a894856b709b732df591e42,Awake Productions,Original Production,222,f
61132,2755cf2ae28641b18799f2ccd1eb6666,Made Sicc Muzicc,,,f
182723,19217e03578a42d5ab9e9662a57fd999,J Ferenzik Music ASCAP,,,f
198751,c6fcaa5da3cb4e8daded8e98a94fe792,LLH rec,,,f
126395,7ba8600574d949bda71b76199009342a,Bakery Records,Original Production,7341,f
182465,ed139d1d5e3f48b1bfd7cad6017c5aad,Hydro Panic,Original Production,107,f
142149,db6cb278db8641afb2f56a44adbe457e,Honey Disco,,,f
4950,b8ee09e6316748f68668c05ef5a91255,Within the Woods,,221,f
246331,763db4b0b0c143fb8ae4d79f4e3b3dfe,Stein Music,Publisher,81,f
96041,e14b195a3cb54b14b8919076b12f494b,Base Trip Records,,5075,f
222817,c595391684d04c5b9d77298a50959245,Attitood Records,,,f
123649,3719ba82fb7d4893a5f2d94c496ff1a6,Mozzy Records,,,f
202672,c9e450c904e14c75bfd36553edc21094,Crudup Music,Publisher,,f
194647,66038aa8dea840daae2506da3dd6aae5,shoeup,,,f
164202,c3bfc7f0f2e54f2c8562862de17dbd15,Radio Archives,Production,222,f
164717,7566bd3235d74d2faf892465c74eaab5,Vasilek Records,,292,f
130189,a9e83dd28b4f40c7be0cf4919f44978f,Beggars Music,Publisher,221,f
136187,21c8fddfbb5f4ebfb310c62835fa0df7,Sorgente Music,,,f
89405,396296fc37f141d188aee9e34ee4780b,School Records,,,f
223570,380c41a59ec342f4a6d1cf7b21ea4fb3,SELECT Entertainment Group,,,f
252455,8cfc42501aca4cc39dd0024361e669c2,Informatial Co Ltd,Holding,,f
242493,2a0caecacff64879ba55a95fd8846125,MCCD,Manufacturer,97,t
147886,6804d891891c4fa5890fa5b0ecb6b292,Pseudo–Songs,Publisher,222,f
246467,f632c48b9d3b43c894dee23b47bb5fc7,MIRAI コンテンツ2部,,107,f
69593,de96af3571584995af26bf9ef5b30af5,Smash One Music,,,f
207229,d501e61a710845b199d058d670083c2b,Maskati Brothers Inc,Publisher,,f
201925,b3a751d03de64d8f848be447260e36e0,Edition Trackland,Publisher,,f
139087,3166f7e9b51747ca8b676ab8caa8dc78,La Industria Inc,Production,,f
245021,aea90741294f499eaeae2b90f95ef290,DJS Records,,150,f
24133,c5cf87c693a543a992ba879caa47f39b,Mi5 Recordings UK,Original Production,,f
39791,3514121721ee49c1913faef5a9cfa504,WILDDISK,Original Production,107,f
147749,22ace28a50174105a622fbd46b9a963b,Thaurus Music,,105,f
75338,2b74ea5360c54488823a3dbf30037687,NRG Komrads,,,f
23301,2757a5b51ed4444ba126fe072d0b5efe,amdo classics,Production,81,f
207324,adb9056caa4c4683a4a88c0dab00810b,cayohuesoprod,,,f
210783,e3afa35ac702403493a8b98013dfc46b,Misfire Records,,,f
239306,0eb06e55c98542e78b675f15d8f2c728,Table Basse Records,,23037,f
231408,0be394ebbc4e4d8e862e86b00fd74b72,OTA Records,Original Production,5241,f
155314,4645c5c02e314ba392e250d3c0934687,Ghost Bass Stars,,81,f
38771,e01eede1524c43159273417b8cf5288d,The Salvation Army,Original Production,38,f
193572,845efce284514493ae05d4dbc7e5f69d,Bay Parkway Music,Publisher,222,f
215629,5f66698503094d7ab1e508832ca0bc32,kuranes,,,f
204419,0f63bf5bdc9a4b0190956a1914edb8a1,Myelin Mason,Publisher,,f
31140,9f5a5134b3014dbaaed065d3556c3a06,Oddball Productions,Original Production,221,f
91023,053a808ed6e44e7d9e278a5d5d1b26a1,Silas,,,f
112659,21fea023b9474d00b24e734f5c20dcd1,Gralin Music,,,f
168895,48fcb8cf3e48419d8496625f2e86eeda,HRB Music Company,,,f
125596,3a44d88a2d204ecea3ebce869a49f575,ZTV,,,f
111125,afc5e1a1952f4524a67b1bb588fa0834,TROEssex Music Inc,Publisher,,f
202732,b8ed6ac34d7e49b38bbdf1a7847ab536,Pamco Music Inc,Publisher,,f
91962,03281b4ceb2d44b5802b7dfce8e71310,Mushroom Runner Records,Production,81,f
8092,f8714b8178da4f6ea20c7b2bad7709ce,Classic Records,Reissue Production,222,f
100622,1c606bd73d4c4e5eb444a7a2c437ad20,Monogram,,222,f
129233,3ea0c5bd7d3941a28b90a63b0a606593,Get Gone Records,,,f
230164,8e532299cc70413593be1b58803c0ecd,OOHERR Records,,,f
133952,e27bc97b59614ceea6c8e14587fdd83c,Particles,Bootleg Production,,f
214340,005da5cfdfc64fc28827e92fc7895b5b,MACHANG MUSIC  PICTURES,Distributor,113,f
232957,9da04384b52948f9909d37b19ffce536,GuideTone Recordings,,,f
