artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-1937527-dup-0,Barren Gat5,Gates Brren,,,,,,,f,,Male,rec-7703-dup-0,
rec-2338452-dup-0,Grwnup Killhoy,Grownui Killjoy,,,,,,,f,,,,
rec-637843-dup-2,Harry Blveston,Bluestome Harrie,1907,9,30,1992,12,22,t,,Male,rec-221-dup-0,
rec-436813-dup-2,The lory,Gloryc Tbe,,,,,,,f,,,rec-221-dup-0,punk barid
rec-447165-dup-1,Judjy Snith,Smith Jvge,1948,,,,,,f,Person,Male,rec-221-dup-0,
rec-132663-dup-0,Jack DeJohnettez Special Edition,Jack DeJohnette5 Special Ed'ltion,1980,,,,,,f,,,,
rec-3331-dup-0,Litrlw Richard,Little tRlchard,1932,12,5,2020,5,9,t,,Male,id-222,
rec-7861-dup-0,Victimw Famil6,Vicimj Family,1984,,,,,,f,,,id-222,
rec-465131-dup-0,3rcl Defree,3rd De9ree,,,,,,,f,,Male,rec-221-dup-0,trance produfer Bernie Hurst
rec-37250-dup-0,Eumi Deodado,Deodato Eujirg,1943,6,22,,,,f,,Male,id-30,
rec-1132372-dup-1,Juri Nal<asima,Nakasims Juri,,,,,,,f,,Female,id-107,
rec-70010-dup-2,Guus Meeuwis  Vagariy,Meeuwis Guv  Vagant,,,,,,,f,,,id-150,
rec-46629-dup-1,The M0ve,M0fe The,1965,12,,1972,,,t,,,rec-221-dup-0,British psychedelif rock
rec-243831-dup-2,Batt1e Circu5,Battie Circus,2004,,,2011,,,t,,,id-153,
rec-622322-dup-0,Visnidors,Viskit0rs,,,,,,,f,,,id-81,German dechno duo
rec-62438-dup-0,Gemma Haywst,Hayej Gekma,1977,8,11,,,,f,,Female,rec-103-dup-0,
rec-118286-dup-1,Ruth Jac0tt,Jacot5 Rut,1960,9,2,,,,f,,Female,id-150,
rec-612300-dup-0,Carrninae,Caahmin,1992,,,,,,f,,,id-73,French Iridie band
rec-183687-dup-1,Phi8li8p,Piiliinp,,,,,,,f,,,,
rec-634733-dup-1,Johanson  Venmat,Johanson  Vennad,,,,,,,f,,,rec-67-dup-0,
rec-81539-dup-0,Tereja Brevver,Brewer Tdre5a,1931,5,7,2007,10,17,t,,Female,id-222,
rec-10984-dup-1,In Flam4s,In Flames5,1990,,,,,,f,,,id-202,
rec-190172-dup-0,研ナコ,Ken Naol<o,1953,7,7,,,,f,,Female,id-107,
rec-436813-dup-0,The Gl0ry,Glory T9e,,,,,,,f,,,rec-221-dup-0,punk bamd
rec-270619-dup-0,Jusge Dredrd,Jud9e Drecld,,,,,,,f,,Male,,
rec-1527709-dup-2,Hart Backbrd,Hart Bakbord,1974,2,24,,,,f,,,id-23698,
rec-760361-dup-1,Htser0,Hser0,,,,,,,f,,,,
