artist_credit,position,artist,name
id-2310269,1,id-1737813,Majesticon 69
id-113439,0,id-113439,Intricate
id-15177,0,id-15177,Nitin Sawhney
id-644827,0,id-644827,Aloha From Hawai
id-57397,0,id-57397,Porn Kings
id-388226,0,id-388226,Sheridan Tongue
id-20638,0,id-20638,Elephant Man
id-634900,0,id-634900,aLi
id-128208,0,id-128208,The Missing Links
id-61965,0,id-61965,Zappacosta
id-298885,0,id-298885,Lyzanxia
id-350212,0,id-350212,Herman Chittison
id-450416,0,id-450416,Il teatro degli orrori
id-99,0,id-99,Bing Crosby
id-955512,0,id-874264,Technicolor Fabrics
id-388370,0,id-388370,UNITE
id-346433,0,id-346433,Heehawhairhead
id-634481,0,id-634481,Mortuus Infradaemoni
id-421477,0,id-421477,Greenhorns
id-728375,0,id-728375,Jaraguá Mulungú
id-770333,0,id-770333,David Hammond
id-814078,0,id-682801,Daniel C Holter
id-814078,1,id-703863,Eliot Pulse
id-17,0,id-17,Bob Dylan
id-163583,0,id-163583,Baia e Rockboys
id-9152,0,id-9152,Duane Eddy
id-12616,0,id-12616,The Shamen
id-287561,0,id-287561,Lorene Drive
id-871679,1,id-653328,Zack Laurence
id-871679,0,id-652478,Alec Gould
id-54410,0,id-835601,De Toppers
id-787882,0,id-787882,Chris Bacon
id-118286,0,id-118286,Ruth Jacott
id-2815207,0,id-2048118,Savana
id-34681,0,id-34681,OAR
id-66983,0,id-66983,Domenico Modugno
id-42534,0,id-42534,Tommy McCook
id-280735,0,id-280735,QDos
id-952267,0,id-697039,Style
id-9262,0,id-9262,Bette Midler
id-244,0,id-244,Disturbed
id-1517,0,id-1517,Elvis Costello
id-1524576,0,id-1268432,さユり
id-735095,0,id-735095,Patsy
id-464980,0,id-464980,Harper Lee
id-56502,0,id-56502,Edera
id-312700,0,id-312700,Carouge
id-1213693,0,id-770938,William Perry
id-586504,0,id-586504,Anima Virus
id-192540,0,id-192540,Helena Vondráčková
id-71452,0,id-71452,Gilbert Bécaud
id-38110,0,id-38110,System F
id-3303233,0,id-2338452,Grownup Killjoy
id-261245,0,id-261245,The Count Basie Orchestra
id-285484,0,id-285484,Scrotum
id-60661,0,id-60661,Masterplan
id-536958,0,id-536958,Intergalactic Faerie Funk
id-81955,0,id-81955,Lightning Bolt
id-1218359,0,id-927309,Jukka Salminen
id-197,0,id-197,U2
id-1689130,0,id-1277206,21 Savage
id-1689130,1,id-966690,Metro Boomin
id-1103944,0,id-959451,Force Fed Life
id-2820346,0,id-1572403,Mark Rushton
id-2820346,1,id-2051564,Jon Harnish
id-88515,0,id-88515,Anne Sylvestre
id-1073203,0,id-938192,Frekkr
id-1137,0,id-1137,Les Rita Mitsouko
id-145514,0,id-145514,ona
id-284133,0,id-284133,Azwan
id-230596,0,id-230596,Engineer
id-88824,0,id-88824,Marion Harris
id-294468,0,id-294468,志方あきこ
id-2934791,0,id-979585,Anonomous
id-31453,0,id-31453,Burning Spear
id-253,0,id-253,Def Leppard
id-303,0,id-303,The Beatles
id-399622,0,id-399622,Koji Asano
id-328220,0,id-328220,Reality
id-62373,0,id-62373,Pernilla Wahlgren
id-1189105,0,id-1023091,Bernd Kohlhepp
