place,gid,name,place_type,address,area,coordinates,ended
9020,ecf074a90a54425ba186b673631f6037,Bethaniënklooster,Venue,Het Bethaniënklooster Barndesteeg 6b 1012 BV Amsterdam Netherlands,7706,,f
12730,86fe5c6861174f66894f45a1309b8c22,GospelgrooveStudio,Studio,,75073,,f
18447,3c94deca6a3d4627a1c41ab5c60d59c4,Apple Store Rosenstraße,Other,Rosenstraße 1 80331 München,7710,48136831157456,f
53567,7e7fd9f1b60c4bcfaafaf1179ee586e0,Taller Blanco,Venue,,,,f
45120,55e0959b6d5d48d2ae78351e4cf2034a,Apple Store Third Street Promenade,Other,1415 Third Street Promenade Santa Monica CA 90401,5283,34015417118495361,f
48369,c277529bb3bc427eb3ff2c885683950f,Spot X,Studio,,7295,,f
31946,4cb52ed5f1bc411d9dc4342adbde5d92,Pevnost Josefov,Other,,118133,5033927815930222,f
10018,14d72d98d8bb409ca33613383053cb0c,Scruggs Sound Studio,Studio,,5213,,f
38815,75bdc22a3ec044df989ecf2cadf7b917,Studio Brasan,Studio,,,,f
42354,34dfd4bacf1e425c9d77794ca556c467,StudioA,Studio,,62241,,f
21433,5c019b0970e843edb6d7827ce6aa1f18,청음 Studio,Studio,,113,,f
7513,7484cbf3d16742a3acca3a65a5058f94,MusicBrainz Summit 14 HQ,Other,Danshøjvej 42 2500 Valby,7712,5566217612490344,t
15995,79dceadb282647249ad9f5bfc858bff1,Mølla Studio,Studio,,12730,,f
16481,47540a850c1c49c992996eaf57016a54,AlbertusMagnusGymnasium Bensberg,Other,Kaule 3 51429 Bergisch Gladbach Germany,68850,509610977155988,f
53322,558504423409420f9d9b67958e4b3920,Indie King,Studio,,5114,,f
12373,efca4e1760c142aabdd395661010602b,Raintree Cafe,Venue,220 King St N Waterloo ON N2J 2Y7,115885,4347529180524457,f
27890,aa290479c25d42b7a7fd5927858a63f8,Lalabela Studios,Studio,,7020,,f
34034,82aacd5899fc4903be938f1567ae3c7d,Big Island,Studio,,,,f
41428,c4b44893613e403282be2a3238809208,Sala Canciller,Venue,Calle Alcalde López Casero Madrid Spain,9413,,t
22998,b7e54c05858a4fb5adfbe7ac26d3ab7e,Lounge Ax,Venue,2438 N Lincoln Avenue Chicago IL 60614,5099,,t
29449,5c29a7458ae54e60aeb519ceb281b840,Cliff Temple Baptist Church,Religious building,125 Sunset Ave Dallas TX 75208,9399,3274455896826152,f
24550,3d129bdadb0d428384d0b183aeff00d1,Studio Charlot,Studio,,4434,,f
9736,3f977f5c9476466e9e68ec85bbd0bad0,Artheater,Venue,Ehrenfeldgürtel 127 50825 Köln,7954,509531486918527,f
51570,d0c339bf5fb04e759a3a86edc453d87a,Straight Theater,Venue,1702 Haight St,7022,37769773122450603,t
49454,cb26909af490463082e4cef9bf023502,Na Cena Studio,Studio,,643,,f
7166,8e81d084a6a446bbb0870f20c5e79bc7,Bla,Venue,Bornheimerstraße 2022 53111 Bonn,7023,507364057093592,f
51963,5db9c0f8e862429293cd05d6adf4c5b6,Studio 19,Studio,,202,,f
3079,4966c97767a7456b96456f386c8f90b2,Lyceum Theatre,Venue,21 Wellington Street London WC2E 7RQ,1178,51511556011975,f
38954,2ce01af35c7c409cbd31cab75b3542cf,Thorns Facilities,,,,,f
34472,748ba9cdbd174fd4b1ef4dc312a376cf,DangStudios,Studio,,22162,,f
22130,52e69165d64546bf90f958e662dfdc91,Apollo Stage,Venue,,11117,,f
49452,b521b5a7fd6b4b34aef2708668864282,Furuheim,,,12336,,f
46257,642d23b08af144acb47476b9bd55c045,Mottow Soundz Studio,Studio,,,,f
34404,0b4cf1d8cd1e4f858153a542cb8fb5e2,Threshold Recordings,Studio,,5782,,f
31697,0ab01ed60076448ab5b3778746484175,Herbert Place Studios,Studio,,9622,,f
6531,0489178e8fc54f9cb2993d430251d6d5,東京体育館,Indoor arena,〒1510051 東京都渋谷区千駄ヶ谷1171,116887,356797221397125,f
32617,63b0aad4fe704268a810204869c21b08,卜公碼頭,Other,Central Hong Kong,96,2228261141583,t
47730,09e79860c2014844b036a5adfb21b5eb,Soundworks Recording Studio,Studio,3801 23rd Avenue 303 Astoria Queens New York,67440,,f
47075,9adda81ff0a54f2c9d84c43ae3017eaf,Mountain of Light Studio,Studio,,1178,,f
4290,67f0f81ea6b6411d87710554db484706,Pieve di Palazzo Pignano,Religious building,,14324,,f
49624,e6cf9e38986a4176ba317722fd80e871,North Farmington High School,Educational institution,32900 West 13 Mile Road Farmington Hills Michigan 48334 United States,22959,4251683376,f
26055,fcffec1c9acb49b3888bf4b00af9e400,Kendall Hall,Venue,,118012,,f
19497,656c8df5add54075bf01f443a785d39a,Japanese Academy,,,,,f
57104,0a98a7f0436349f39d7ebbe45f9d0cf7,Festival Messiaen au Pays de la Meije,Venue,La Grave,,,f
4844,66b323ef56e34994a1aa96cb6949fa61,Nemo Studios,Studio,,1178,,t
57107,2372dd644f9946309c37a6e3eb6c2d7e,Evansson Audio Media,,Unit 6b The Fortress Avonside Melksham Wilts SN128BT,,51376515214165,f
47824,08da2c8a127c4e85b785bd7a571be43c,O2 Academy Sheffield,Venue,O2 Academy Sheffield Arundel Gate Sheffield City Centre Sheffield S1 2PN,3934,533816021465469,f
40351,1cd34a5a9adc4b28b58321e2b00e19d7,Zénith de Dijon,Venue,Rue de Colchide  21000 Dijon  France,67890,473552825058136,f
19244,ff3466d97ce94080b0718198b9cb74bd,House of Culture Vltavská,Venue,,1805,,f
29181,b9ec000657884b47bf28f2bcea075a5b,Horta Hall,Venue,,1793,,f
45056,f380b10a995c4e3c8e4482a66d39b021,Studio MySound,Studio,11 allée de Longueterre 31850 Montrabé,43556,,f
13971,fc79f9ad818e46a1ab9f7854ea90ce21,Concert Hall Sydney Opera House,Venue,,5126,3385671512149,f
