id,release,position,format,track_count
96826,id-96826,1,,8
960850,id-960850,1,,15
937097,id-989633,2,1,6
506783,id-506783,1,1,23
686447,id-686447,1,1,25
1019827,id-1019827,1,,27
3254692,id-2990416,1,1,62
2517490,id-2326314,1,12,13
901754,id-901754,1,42,4
559365,id-559360,4,1,25
2340713,id-2170599,1,1,5
1423182,id-1373515,1,29,3
211265,id-211265,1,,12
1346912,id-1306480,1,1,25
1025391,id-1025391,1,1,11
908931,id-908931,1,1,16
378572,id-378572,1,1,57
180371,id-180371,1,,14
227021,id-227021,1,,13
1265623,id-1236197,1,1,7
838927,id-838927,1,,15
63472,id-63472,1,,11
1702311,id-1617648,1,1,13
120086,id-120086,1,1,10
585554,id-585554,1,1,11
309050,id-309050,1,1,9
1276067,id-1244824,1,1,12
148449,id-148449,1,,12
1062586,id-1059563,1,1,14
318409,id-318409,1,1,5
3262583,id-2985281,3,1,99
83283,id-83283,1,1,12
1043948,id-1043662,2,1,16
1698713,id-1614502,1,1,13
395662,id-395662,1,1,20
1302920,id-1268171,2,31,14
7398,id-7398,1,1,24
700712,id-700712,1,31,11
310428,id-347998,2,1,13
881331,id-881331,1,,4
647570,id-647204,16,1,17
2561921,id-2365588,1,12,13
1486566,id-1428611,1,1,22
13343,id-13343,1,1,9
465907,id-465907,1,1,17
1065200,id-1061881,1,1,48
635562,id-635562,1,12,9
313355,id-313355,1,1,17
687,id-688,2,1,26
1356159,id-1314517,1,19,3
831781,id-831781,1,1,16
2255822,id-2096330,1,12,11
777379,id-777379,1,1,6
341327,id-341327,1,1,12
1078093,id-1073131,1,,10
729073,id-729073,1,1,15
758506,id-758506,1,7,10
620939,id-620939,1,12,99
631504,id-631502,2,1,9
1174937,id-1156893,1,12,11
776294,id-776294,1,12,16
683895,id-683895,1,1,54
519183,id-519183,1,1,10
71317,id-71317,1,12,11
52866,id-52866,1,1,12
138059,id-138059,1,,10
111154,id-111154,1,,12
841054,id-841054,1,,99
355609,id-355609,1,12,4
289675,id-289675,1,1,20
1257051,id-1228708,1,1,6
1611047,id-1538772,1,12,4
1121546,id-1110231,1,1,17
472763,id-472763,1,7,14
1185885,id-1166310,1,33,6
967079,id-967079,1,1,13
793575,id-793575,1,12,20
555443,id-555443,1,1,24
172257,id-172257,1,1,20
546278,id-546278,1,1,7
658025,id-658025,1,1,9
171787,id-171787,1,1,17
1315919,id-1279355,1,1,14
1246072,id-1219069,1,12,23
1037609,id-1037609,1,,11
1252289,id-1224488,1,12,11
1172889,id-1155108,1,1,17
736892,id-736892,1,1,6
445735,id-445735,1,1,10
600930,id-600930,1,1,4
1009329,id-1009329,1,1,12
2111231,id-1972146,1,1,12
1256572,id-1228279,1,1,7
846229,id-846229,1,12,18
1166697,id-1149886,1,1,28
306820,id-306820,1,1,30
241149,id-241149,1,,6
931450,id-931450,1,,15
620888,id-620888,1,12,48
1085750,id-1079890,1,1,10
925636,id-925636,1,,15
2561045,id-2364776,1,1,15
765668,id-765668,1,1,12
812146,id-812146,1,1,9
1044559,id-579041,3,1,18
1102825,id-1094169,1,1,10
546938,id-546938,1,1,9
1106320,id-1097144,1,1,10
370040,id-370040,1,1,8
555612,id-555612,1,12,13
703282,id-703282,1,1,19
1159471,id-1143639,1,12,8
277125,id-277125,1,1,13
1016616,id-1016616,1,,17
93195,id-93195,1,1,14
186203,id-186203,1,1,21
835106,id-835106,1,1,6
1081171,id-1075852,1,1,19
273662,id-273662,1,1,7
1073471,id-1069127,1,1,19
53310,id-53306,5,1,4
915130,id-915130,1,,16
960517,id-960517,1,,18
1697814,id-1613780,1,31,8
429040,id-429040,1,1,10
2871174,id-2643996,1,12,13
969835,id-969835,1,1,8
1423422,id-1373725,1,1,30
877393,id-877393,1,1,14
48086,id-48086,1,1,14
1037298,id-1037298,1,,17
2560470,id-2364296,1,12,76
1299682,id-1265305,1,12,19
1037717,id-1037611,13,1,20
1235846,id-1209948,1,1,7
1110046,id-1100300,1,1,10
1611377,id-1539061,1,1,7
649981,id-649981,1,1,9
806444,id-806444,1,1,17
674371,id-674371,1,12,165
517,id-517,1,1,11
1196756,id-1175484,1,1,13
1114861,id-1104416,1,1,5
1319341,id-1282402,1,,11
834953,id-834953,1,61,20
967327,id-967327,1,1,19
782051,id-782048,2,1,29
827039,id-826974,9,1,13
1082330,id-1076891,1,12,12
2138640,id-1995968,1,36,14
654215,id-654215,1,1,11
1249860,id-1222405,1,12,5
195990,id-195990,1,1,5
1345079,id-1304886,1,12,12
578775,id-578775,1,29,2
1159528,id-1143689,1,1,12
440587,id-440587,1,,23
1209869,id-1187099,1,12,17
175899,id-175899,1,1,14
14296,id-14296,1,,14
1112803,id-1102578,1,,12
883486,id-883486,1,1,7
983719,id-983719,1,,14
