id,gid,name,label_type,area,ended
246651,b9b8a71019554d4ca8f354140d6ff216,Nuclear Waste Records,,,f
153232,095b1283fe8c4cc4a6b3028779185b9a,Eccofilm,,,f
137589,0b574db326324d9eb840c2eb8f5fc634,Origen Music,Production,id-5197,f
154474,b605648623bd461d853fa423ff83a5b6,High Wind Production,Original Production,id-107,f
155454,606d907403e2485b9b55476d2801ab1b,Cold Ways,,id-378,f
208798,96d0419d0caf4859b3f5611ece640576,Dr Awkward Publishing,Publisher,,f
86622,035e05c580b54c9ea36f055dad262b7e,小学館集英社プロダクション,Publisher,id-107,f
178184,a964998f050c44cdb61509db6add47ef,Kärringa Jonson Records,,,f
250505,a8bce4a048004983a12d2ef861cf52ab,Cavalier,,id-7022,f
171165,dc396409b9084865822b2ca05f4bffe6,Hess Street Songs,Publisher,id-5230,f
142533,88366e9d3ee84fc9abd5c4809c9f4375,MP3 Music Collection,,,f
74912,e3facb0e783d4c4a81a8f45becee9a34,Pretty Boy Floyd Records,,,f
4393,201b9f9e4d754e8a8cb8fc0b28dc45b8,WordSound,Original Production,id-222,f
68320,034888b97a3c43e6ae7efa38f0935f2c,Potomac Records,Production,id-222,f
216966,cbe2ccc5aa134613b2fb2c8686fc43dc,Cuban Vintage Tour,,,f
51466,6708195cef0d4d2ea8b3cba72670f17c,Tender Loving Empire,Production,id-5147,f
227110,fabca92a36284bb0bddaaeac4ddd9279,New Ruins,,,f
200805,e02a6fb886ac4c188ce0442a48aecdc4,Jenyer Production,,id-113,f
72186,bd1d187a65fb4e39990780f2f8f44e66,Fascinoma Records,,,f
130189,a9e83dd28b4f40c7be0cf4919f44978f,Beggars Music,Publisher,id-221,f
144369,7d589b908af04a2484dac1327d9944d0,Amg MusicCâmara Municipal de AlmadaBLITZ,,id-171,f
195288,f561159575494ffdbe11f43ca426fee5,MGill Hill,,id-7713,f
210755,6591729176444d4b9774d2fafe218dc5,FuzzTown Records,Original Production,,f
217951,640334d018da4da780d2843a7b524f1a,Memorex,Manufacturer,id-222,f
56232,09e0fbe36ad24841bf12367aa97a92f8,Wambo Productions,Production,id-52490,f
148079,d4fd16a4400c4199bd626bcd022d96a4,Progressive Music Publishing Company Inc,Publisher,id-222,f
91143,234720b52e7f48ba8c8e04b8bc767c1c,Mutiny 2000 Record,,,f
246074,955032c6f5f948a5a77003cf6d995bb7,Sonic One Powermastering,,,f
42870,084cedca540f45b08286e770b7c10803,Digital Cellars,Original Production,id-222,f
141587,b78195385ac34a3fa71014b6d731789c,Trance Gold Records,,,f
180820,4cb6728050974881a6b0bbb9667a564b,Rekord,,id-81,f
185883,12c179c65fb344cba609392136da4599,ts136,,,f
177697,3b6ba38fc82c490cb2ae97a2737e92ef,Misguided Records,,,f
67792,bd1295e96ab445308a5bf8eca3e4b2a1,FMan Media,,,f
68950,465b5c83625f4a1888a8637c4a5144d6,Musica Celestia,Original Production,id-30,f
185812,f3503ecbb8ea4e25a31d78333a1cd43d,STAREX,,,f
173209,2f7f7f84d15c4130bc44594c7755cd5f,Humildad Y Honestidad,,id-194,f
192977,d29c878682af4a9cb6d256044bcbf7ac,artbyFORM,Distributor,id-222,f
132187,8b34d88983e542c0a3db1ccc951145e3,Queens Litho,,,f
62853,8be9eb0f9e7e40f7bc4b2c8d0144ed3a,Shitsounds Co,,id-67,f
28866,c5ff5a30ee124d8a81a7413acb8dd1a5,Urban Camper Entertainment,Original Production,,t
111814,15aa4abd388e480dacde12bcdddf0ef2,Salli Isaak Music Publishing,Publisher,id-222,f
231656,fe402119af6940729e5254b5e1aba053,Struts  Frets,,,f
173030,660e9e4604414093bebf4ec4b70cc8b5,African Echoes,,,f
174003,67f71882945847129b265de94cb46e76,Soulmade Productions,Production,,f
90453,e59ed50ba53e4223a51e72bcdddf3444,Vetnasj Records,,,f
203071,8e2251c90cc3434eb91baca8a0b976d1,Battle Creek Recordings,,,f
103298,813c3b56e408491d8629f22be1cbc98b,German Democratic Recordings,,,f
140331,7c91da43ac1248449b3c8a61379bd6f3,Digital Entertainment,,,f
49875,b0b124e17700455d82073edd20e00472,Sethnefer Music,,,f
249036,604e00c196b843cf8da07a27130a6a39,Preachja,Production,id-100,f
115876,e3204dd5f4f84809baf096e980f48cde,Deeman Music,,,f
112709,0f930235bfa94da3960b4d6eed46fa33,Vulkania,,id-30,f
135956,77b1a9396e50486bb6a15f88a47cc94d,ElRow Music,,,f
120574,10d4318983ce46f6aa6a6f880207cdb9,Gritty City Records,Imprint,,f
229596,527a0c33f5604897ae3ddfb4ef3fb975,29 Global Public,,,f
239343,95e1921c059f40bfb324469c0b542ac6,Hot Tub Records,Distributor,id-29447,f
20529,21fdfe0b838e4aeaa66776cc08d963ce,BitPhitz,,,f
217296,5e78a42c9b3a439cac92169da165050a,Nova Lark Music,Publisher,id-10861,f
52445,9ca59ac134e74c629966d7c7dade1870,Full Light Records,,id-222,f
53717,9fc06d031e2b4bc88713283ddec551b0,GenXtasy Records,,id-222,f
113166,96dcdc6b1a704d549865cfa5a28e5393,OMG LLC,Imprint,id-82034,f
211062,84d6df6f9d304d468795cb895a97fb78,Spectra Management Inc,,,f
243059,7f83e23fac054930acbe69034e613e08,Ghostown Thang Music,Publisher,,f
51665,8ac8b8f3dab6481099025cfb6e23e969,King of Patio Records,Production,id-9274,f
210979,e64757ff3884494c82cc0335876a0902,Big Dumb Music,,id-23652,f
225972,1b4b1c1e38c74e39a1bada729333c099,Acrobat Music Ltd,,,f
127305,c3b12bbe4b1444f5b862a0f930e738c6,Made In England,,,f
225340,bcb62941a88549c2838fb0df6bd1f0b7,Творческий центр Музыкальный Дом,Production,,f
81363,3fa0e5fe5fbd4e2fa13d4a09c22c5193,Early Learning Centre,Distributor,id-89433,f
190452,8c274a2a3f04448fa561871ae80b9a09,TΔG MUSIC,,,f
103834,444b564f03a747d6a78723ba5939f0c6,Tænia Solium,Original Production,id-68486,f
23679,d930c0a71a3e4af5a9cf987e18f717ac,Tumi Music,,id-15556,f
136477,f21060fa3eca42899cb5df690ac95b11,Other Int Universal,,,f
72447,73c24f48971c454187df16d079b498c1,Doxology Records,,,f
89101,ce75f082c15b4fb1b24396e09f160ccc,Analogic Uberleben,Bootleg Production,,f
192636,91f51cb166a94a59ba1feb8dde65c073,Adam  Liza Music,,,f
31038,616f299a1fc24bababf861c4665e9e86,Streamline Records,,,f
24027,29df75bb566746ae8bf7d44d2a36fdea,Bleep,Distributor,id-221,f
202000,e9f99e49dc0945d585dfe6c24cd295db,That Was EZ,Publisher,,f
78526,2e6b335953c841a0b194157368cf53cb,こんがりおんがく,,,f
