artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-16276,Martin Merkel,Merkel Martin,,,,,,,f,,,,
id-1178674,Tasha Page-Lockhart,Page-Lockhart Tasha,1983,3,21,,,,f,Person,Female,,
id-168929,Infected Deedrah,Infected Deedrah,,,,,,,f,Group,,,
id-836753,Mott and the Scavengers,Mott and the Scavengers,,,,,,,f,,,,Featuring Matt from Caravage
id-1295590,Sarah Téibo,Sarah Téibo,,,,,,,f,Person,Female,,
id-690443,Thera,Thera,,,,,,,f,Group,,,Chris Knowles  Henry Cullen
rec-1038760-dup-0,Black Centvry,Black Centurie,,,,,,,f,Group,,,
id-561667,Mirthless,Mirthless,2003,,,,,,f,Group,,id-1075,
id-350062,Conjunto Canayón,Conjunto Canayón,,,,,,,f,Group,,,
rec-670346-dup-0,Justtin Faust,Faust Ju5tin,,,,,,,f,Person,,,
rec-670346-dup-1,Justim Faust,Faust J8stin,,,,,,,f,Person,,,
id-743231,Opaluc,Opaluc,,,,,,,f,,,,
id-2280098,Hello Yes,Hello Yes,,,,,,,f,Group,,id-30642,
id-588656,織姫よぞら,Orihime Yozora,,,,,,,f,,,,
id-202758,The Cooperettes,Cooperettes The,,,,,,,f,,,,
id-177352,Gary Mills,Mills Gary,,,,,,,f,Person,Male,,Top Teen Baby Break-Thru
id-747123,Bridal Party,Bridal Party,,,,,,,f,Group,,,
id-453760,Gui.tar,Gui.tar,,,,,,,f,Group,,,
id-576374,naizan_noob,naizan_noob,,,,,,,f,Person,,,
id-255002,Bazar,Bazar,,,,,,,f,Group,,,house duo key track Hard to Find
id-1150735,スーパー・ステューピッド,スーパー・ステューピッド,,,,,,,f,,,,
id-576373,TMTK,TMTK,,,,,,,f,Person,,,
id-500062,Alex Jacobowitz,Jacobowitz Alex,,,,,,,f,Person,,,
id-331780,Froze,Froze,,,,,,,f,,,,Japanese musician
id-250569,Kuya Lu,Kuya Lu,2001,,,,,,f,Group,,,
id-939928,The Trite,Trite,,,,,,,f,,,,
id-607783,Rudolf Steiner,Rudolf Steiner,2001,,,2002,,,t,Group,,,
id-1050382,Temple Of Light,Temple Of Light,,,,,,,f,,,,Arno Kammermeier Peter Hayo Walter Merziger
