place,gid,name,place_type,address,area,coordinates,ended
id-10145,480f37b72ac44c8892b3d19b6b5ce388,The Lighthouse Theatre,Venue,247 Main St,id-88625,4278604680203093,f
id-46413,4b3f70db8b484127bdda4058188f5cab,VL Studios,,,id-22375,,f
id-56727,f8f456d3fa6e49d1b041c0bb8f2c2383,Eglise SaintLouis de SaintEtienne,Religious building,4 Rue Léon Nautin,id-67466,,f
id-25187,048fcce71ef3481fbbdc73aff935c443,Dartmouth College,Educational institution,Hanover NH 03755 USA,id-23229,4370333372288333,f
id-13353,415fecc1fafe4b958b23dcbed8639c4b,石川県産業展示館,Venue,〒9200361 金沢市袋畠町南193番地,id-10651,36575275136603001,f
id-36507,0720c470c36541d9b52a1869f3163829,Inouïe,,,id-4434,,f
id-56879,f4935a99966e4b13af65b871bdc048d6,Kodak Hall at Eastman Theatre,Venue,26 Gibbs St Rochester NY 14604,id-5303,4315805277601142,f
id-55612,c6a84639683c44c2b5b88cd4a7e3260f,Irving Convention Center,,500 W Las Colinas Boulevard Irving Texas 75039,id-85169,3287827896943171,f
id-7214,fb7384796a2341b69d8205b364ddddb2,Soundsurfer Studios,Studio,,id-4000,,f
id-26692,b52410d6d5674d1ca5375a919431da8f,anns sound,Studio,東京都渋谷区渋谷2丁目3番11号ラ・ネージュ青山3F,id-116896,356588913970851,t
id-40241,21ed3b8c3cf6466cb017e1f15ba86a37,The House of Arts,Studio,,id-23609,,f
id-48842,51f0f93ab4f64df78591646784224ffe,Ryemuse Sound,Studio,64 S Molton St,id-119072,515133530146862,f
id-9801,fae265b207b44faa92ffe26596e49e05,주예당 Studio,Studio,,id-113,,f
id-16513,69b70013edd74a559ed0a87946be1482,KCE東京Aスタジオ,Studio,,id-397,,f
id-53995,87d27a545cc94060a9c7e65916cdc45c,Playback Recording Studio,Studio,400 E Gutierrez St,id-7503,34419952119689189,f
id-53492,33b5ad5f3da44b02831853b5db1bb454,The Jungle,Studio,,id-160,,f
id-21555,5b8e6c6bfc0f4578aaed71004358d72f,Pura Dalem,,,id-4555,,f
id-22456,d224360015954ec2afee85d5ee1546da,Titanic Studios,Studio,Hollywood Green,id-1178,,f
id-52873,629352eeb1a34d79b2e7b9838521115c,Chmury,Venue,11 Listopada 22 03436 Warszawa,id-5056,522593421036836,f
id-48918,fcab91d6618446bb83b98b7368e90e65,Pacific Spirit United Church,Religious building,2195 W 45th Avenue Vancouver BC V6M 2J2,id-5212,,f
id-18435,b68fb6da414b45ae9d0bbc75f0495688,The Pit,Studio,,id-30644,,f
id-38358,ecca7b03afb34b99b64659d30d18064c,The Half Moon,Venue,93 Lower Richmond Rd Putney London SW15 1EU,id-55341,5146802022257,f
id-51280,69c29cf6835d4950b189a11f29df8182,Bat Sound Studio,Studio,,,,f
id-54747,ebb97ee0a26d4e9a9017711571e24af1,ДК Сибтекстильмаш,Venue,630071 ул Забалуева 47,id-5082,5498722282813611,f
id-12453,1d892bdbae6c482ea6e5d66d8fd85ae6,Palácio das Artes,Venue,,id-5274,,f
id-9338,5e2b8f4ae0ac402e97cbf2fecae6c22c,Wardour Chapel,Religious building,,id-4015,5103782094,f
id-42924,64721d0e2dea4589b5fc99a4387191c6,Mountview Academy of Theatre Arts,Educational institution,120 Peckham Hill St Peckham London SE15 5JT,id-88222,51594301133,f
id-36189,86d4884d83574c7ab0a75b8dd1ec4351,Toronto Sound Studios,Studio,14 Overlea Boulevard Toronto,id-5076,4370374379351802,f
id-20433,8a0d5221340e459d9013cd837a1ae5b8,212 Studios,Studio,,,,f
