artist,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-962850,bab678841e664878a90c12a66924ec92,Esko Linnavallin orkesteri,Esko Linnavallin orkesteri,,,,,,,f,Group,,id-72,
id-376906,ebd8a2e59a314288bcce871a3fb24a43,Marzi Nyman,Nyman Marzi,1979,1,12,,,,f,Person,Male,id-72,
id-216253,e6baf418e1754d8193ec4f6d70d9b6a0,Stars on Mars,Stars on Mars,,,,,,,t,Group,,id-202,
id-299942,f9f122e275b848ef97eed5109b3a8424,Rainald Grebe,Grebe Rainald,1971,4,14,,,,f,Person,Male,id-81,
id-99403,7a50f6c5d016423e88a1de3eb2dc2bcd,Columbia University Kingsmen,Columbia University Kingsmen,1948,,,,,,f,Group,,id-222,
id-79388,a646910b38894092b7030e0ae36b426a,Toxik,Toxik,1985,,,,,,f,Group,,id-222,
id-108000,c9c5f2eb0c9f41269eb002aa6f05f2eb,OT Quartet,OT Quartet,,,,,,,f,Group,,,
id-509547,36e4e77781b94d7abdfdbab0c320fab2,Pink Skull,Pink Skull,,,,,,,f,Group,,,
id-432198,4c72d82f6a52425a8f3b7870f0d98d10,Jeffrey Koepper,Koepper Jeffrey,,,,,,,f,Person,,,
id-439715,86af9d4f7ac64f91845d6092dbee5115,Снорри Стурлусон,Снорри Стурлусон,2005,,,,,,f,Group,,,
id-124401,39f3855ddd7b49f2a0ab0cd57848fab9,Back Door,Back Door,1971,,,1977,,,t,Group,,id-221,
id-34923,753124934d98498e8d7562f88ceaf55c,中島みゆき,Nakajima Miyuki,1952,2,23,,,,f,Person,Female,id-107,
id-745864,26c850a2bd02446092690eea7682bcdd,Annoying Ringtone,Annoying Ringtone,,,,,,,f,Person,Male,,Tom Lindsay Founder of DANCE CORPS
id-50510,64077f541c5d417896afcaaeabc09efc,Martin Nievera,Nievera Martin,1962,2,5,,,,f,Person,Male,id-168,
